attr_name	Control1	Control2	Control3	Control4	Control5	Control6	Control7	Control8	Control9	Control10	Control11	Control12	Control13	Control14	Control15	Control16	Control17	Control18
AQPEP	31.2017394220589	55.3079909366549	11.3142024901083	10.5591515406073	40.9162975656512	78.3466635880401	24.6710075692706	356.493063799823	39.8572726914763	59.7769812419054	36.8425079784179	30.585086117495	48.0420968886576	32.9560214245955	251.614799459588	45.7059315994882	26.9571616917381	51.9643150516249
PRR16	39.5222032679413	11.2873450891132	12.1845257585782	44.8763940475809	22.4379696327765	39.1733317940201	29.6052090831247	9.80355925449513	35.6617703028998	45.6192751582963	18.7046578967352	9.83092053776626	10.9569694658342	10.6884393809499	12.8838903337741	10.0330093754974	4.96579294321491	12.5974097094848
ZNF474	6.24034788441179	3.38620352673397	8.70323268469869	10.5591515406073	5.27952226653564	26.1155545293467	4.93420151385412	2.67369797849867	4.19550238857645	11.7980884030077	3.4008468903155	14.2002185545513	2.5285314151925	4.45351640872913	3.03150360794684	1.67216822924957	2.12819697566353	2.3620143205284
ACSL6	18.7210436532354	629.833855972519	13.054849027048	15.8387273109109	18.4783279328747	52.2311090586934	24.6710075692706	17.8246531899911	27.2707655257469	12.5846276298748	460.81475363775	25.1234635965138	122.212351734304	39.1909443968163	48.5040577271495	8.91823055599771	53.2049243915884	155.892945154875
P4HA2	232.972987684707	62.0803979901229	265.44859688331	326.013803816249	128.028414963489	137.10666127907	233.141021529607	79.3197066954606	304.173923171793	284.727200125918	189.313810227563	169.310298150419	214.082326486299	197.736128547573	146.270049083435	229.087047407191	168.127561077419	534.602574546262
SLC22A4	8.32046384588238	248.321591960491	14.7954955639878	11.8790454831832	6.59940283316955	19.58666589701	33.3058602185153	24.063281806488	25.1730143314587	25.9557944866168	215.386969719981	22.9388145881213	64.8989729899409	16.0326590714249	31.8307878834418	7.24606232674814	33.3417526187287	78.7338106842801
CXCL14	49.9227830752943	33.8620352673397	105.309115484854	162.346954936837	81.8325951313025	215.45332486711	1111.42889099564	308.366500186847	258.023396897452	163.600159188373	278.869445005871	263.250205511296	180.368574283732	691.18574663476	116.712888905953	124.297838374218	224.170081436559	277.930351715509
TGFBI	370.260641141766	207.687149639684	912.969108624893	1900.64727730931	559.629360252778	398.262206572537	803.041296379758	402.8371620938	706.942152475132	1445.65909898187	403.567164317439	656.487027021947	277.295611866111	806.977173261718	421.379001504611	437.550686653637	497.288693313379	570.032789354188
NPY6R	18.7210436532354	22.5746901782265	26.9800213225659	11.8790454831832	10.5590445330713	45.7022204263567	23.4374571908071	32.0843757419841	46.150526274341	11.7980884030077	15.8706188214723	31.6774106216913	26.9710017620534	24.9396918888831	19.7047734516545	10.0330093754974	39.0169445538315	7.87338106842801
MYOT	8.32046384588238	14.6735486158472	23.4987282486865	7.91936365545545	3.95964169990173	26.1155545293467	535.360864253172	139.032294881931	16.7820095543058	24.3827160328825	20.9718891569456	34.95438413428	37.9279712278875	182.594172757894	25.0099047655614	14.4921246534963	42.5639395132707	6.29870485474241
