attr_name	ControlSkeletal1	ControlSkeletal2	ControlSkeletal3	ControlSkeletal4	ControlSkeletal5	ControlVastus1	ControlVastus2	ControlVastus3	ControlVastus4	ControlVastus5	ControlVastus6	ControlVastus7	ControlVastus8	ControlVastus9	ControlVastus10	ControlVastus11	ControlVastus12	ControlVastus13
1552491_at	8.44757462147592	10.0584729651554	9.33260710856654	10.2688439758212	8.96114518222321	10.2604933932859	9.65908180569676	9.50252280575868	10.2115523885974	10.0313057401782	9.08036275683487	10.0362395870554	8.72340409120714	8.19467561647234	9.47899972787087	10.6124539555897	7.9168950611746	8.26375882822683
1552507_at	4.2787930879542	4.29502035482509	4.52986816276448	4.41181471793771	4.40564794299783	4.42196787099189	4.71766423675	5.10533662464984	4.65642496586378	5.07314558197337	5.15165668479739	4.15629366326832	4.32694826312766	4.58848647484252	6.04581194391172	5.15326309711391	4.99838815881214	4.64737094172352
1552508_at	4.57663824856669	4.38077516594543	4.46386607715642	3.8601129486862	4.32789699979893	4.36014331001507	4.33272757914378	4.42825323582684	4.47156369234211	4.65755040246188	4.63178099515602	4.5038285625682	4.25052357656699	5.04950292411694	5.07853960520709	4.77981806807289	5.14002692580888	4.96331364710749
1552509_a_at	5.98135815256411	6.14366852869413	5.43451183500887	6.34146634838009	6.43053893202383	6.66513084416628	6.03306800548404	6.7528175906443	7.27862242182091	6.09949169763967	6.48492520979933	6.04244494970521	6.67412474581057	3.82368252196889	4.50974414988561	4.17829987685259	4.21068364116234	4.03466416197926
1552549_a_at	5.65503028942472	5.76836963085812	5.76736895675402	5.54090219016277	5.62280265225946	5.31672705956034	5.43660283556736	5.86138146926403	5.86339379473257	5.4521817547236	5.42351522526404	5.38676439063206	5.63289267851151	4.70943622335465	5.09540072308722	5.24632774366851	5.78669344772236	5.76763716318093
1552568_at	4.93423464935987	4.74694980341335	4.91841962209134	4.54316125937811	4.8691953148634	4.86113131546326	4.99671457330402	5.16820705141577	4.16921442357811	4.42567318466065	4.56511284358229	4.40591145750059	4.53917668076772	5.21117264912342	5.04432959221229	4.98027897045734	5.77999339394651	5.70358406845365
1552610_a_at	6.53908072961101	6.43931841805847	6.3925839800386	5.81482334389302	6.30055514731183	6.65274129443131	5.81564966453731	6.69877210993783	6.12252031292048	6.13466739088567	6.73404959558331	6.30027304729541	5.83331714640801	6.73712392182809	4.75063985139215	6.91147012526652	5.8166646499608	6.78706931297608
1552611_a_at	5.65101770374216	4.83263322369273	5.44843206679911	5.72854055895977	5.84567166644314	6.12793960516655	5.350724652269	5.63217711456089	6.36053049520203	6.19262343775597	5.63287956155979	5.79193482834146	6.89994523236433	6.55958776237379	6.92015605465379	6.62479608252745	6.14362322891684	6.9282486267849
1552613_s_at	3.8061070968542	3.65471658382817	3.39606379360673	3.17072183825658	3.584778691255	3.25873855058438	3.21385772373213	3.7181095390665	3.43724934911245	3.30016483437484	3.81016716571655	3.81883184452942	3.12629573365618	3.31229332793301	3.6427201522909	3.62330675099086	3.59388475723083	3.8621939570254
1552619_a_at	2.96874550786918	3.01095597545998	3.01198788182538	2.94739260397539	3.08295587711093	3.11694027457399	3.00257794935298	2.97284929517247	3.05094244347215	2.90404252067903	2.92961808641964	2.79965859907823	3.20170656241458	3.15250127072128	2.98708633664254	3.18900942982336	3.13273951156175	3.50289353366047
1552620_at	7.86426506762187	7.41262995921729	7.05659657776649	7.64907187155043	7.34607417445419	7.47036129627638	7.46143387273248	7.04612018422006	7.54162856569914	7.35479146006355	7.68499403740689	7.27679675995391	7.71068647363614	7.34264326617861	7.10353708231519	6.7877809356363	7.82093053751859	7.90976610233393
1552628_a_at	5.61305586107842	5.36007489385753	5.64129753251327	4.93916574674903	6.08662019870655	5.65180225216821	6.00286580127435	5.61927840384027	5.65511863552577	5.83640285900559	6.00609214591627	5.9136059999675	5.76857660282943	6.36531027426924	6.93349649498484	6.9271571309413	5.03020323141411	4.52169243451686
1552660_a_at	5.38547654378169	5.71607622172205	5.3715055767284	4.10635346809992	6.25797536121437	5.7713697610004	5.00240434489893	5.30166056541888	5.578077032999	5.77219131770484	6.39176266423008	5.93770417561832	5.56622383860772	4.82937652344007	3.72290404593839	4.94854442528931	4.0083859791766	5.58756578808905
1552664_at	5.63610562676352	5.63334838288778	5.62282072340453	5.08817307816017	6.53324915333599	6.56235431016797	5.03024474594652	6.47829956883036	7.05860067461044	6.31905064877598	6.08547684651763	6.40444087117471	6.68779892575628	6.30001626860515	6.35282929900383	5.35252411085113	4.96248366709941	4.73593080027116
