genes;condiciones
127733,2160,163720,100996301,27022,57530,6097,9173,81615,6332,8436,1285,84525,653082,1906,345895,56892,6101,222389,3855,85349,7080,767566,644649,3240,9914,102723552;Metastatic2,Metastatic3,Metastatic4,Metastatic5,Metastatic6,Metastatic7,Metastatic9,Metastatic10
127733,653082,149465,100996301,27022,9173,1906,345895,56892,6101,22941,85349,767566,728276,644649,3240;Metastatic1,Metastatic2,Metastatic3,Metastatic4,Metastatic5,Metastatic6,Metastatic7,Metastatic9,Metastatic10
127733,100506658,149465,27022,57402,9173,7433,1906,340267,56892,6101,83481,142827,22941,3855,85349,113218482,9365,767566,255189,644649,201456,1556,102723552;Metastatic1,Metastatic3,Metastatic4,Metastatic5,Metastatic6,Metastatic7,Metastatic9,Metastatic10
127733,117156,1580,177,105,7356,3855,109729127,21,728276,4680,284340;Metastatic1,Metastatic2,Metastatic3,Metastatic5,Metastatic6,Metastatic7,Metastatic9,Metastatic10
127733,10917,149465,1579,100996301,27022,9173,653082,345895,168090,6101,105,7356,55507,85349,767566,728276,644649,3240;Metastatic1,Metastatic2,Metastatic3,Metastatic5,Metastatic6,Metastatic7,Metastatic9,Metastatic10
127733,1906,149465,100996301,27022,9173,7433,345895,6101,142827,22941,3855,85349,767566,644649;Metastatic1,Metastatic2,Metastatic3,Metastatic4,Metastatic5,Metastatic6,Metastatic7,Metastatic9,Metastatic10
127733,80736,149465,100996301,27022,9173,7433,1906,345895,340267,56892,6101,83481,142827,22941,3855,85349,113218482,9365,767566,255189,644649,3240,201456,1556;Metastatic1,Metastatic3,Metastatic4,Metastatic5,Metastatic6,Metastatic7,Metastatic9,Metastatic10
127733,177,149465,100996301,27022,9173,345895,56892,6101,55507,85349,767566,644649,3240;Metastatic1,Metastatic2,Metastatic3,Metastatic4,Metastatic5,Metastatic6,Metastatic7,Metastatic9,Metastatic10
127733,168090,100996301,27022,9173,7433,345895,6101,142827,22941,3855,767566,644649;Metastatic1,Metastatic2,Metastatic3,Metastatic4,Metastatic5,Metastatic6,Metastatic7,Metastatic9,Metastatic10
127733,340267,149465,100996301,27022,57402,9173,7433,1906,5961,56892,6101,83481,142827,22941,3855,85349,113218482,9365,767566,255189,644649,201456,1556,102723552,26226;Metastatic1,Metastatic3,Metastatic4,Metastatic5,Metastatic6,Metastatic7,Metastatic9,Metastatic10
